                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0418,                 4.3522,                 4.2707,                0.00208,                0.70679,                0.00281,                0.00132,                 2.4808,                 4.4691,                 4.1535,                0.00023,                0.00023,                0.00023
                      2,                 3.0821,                 4.2636,                 4.1724,                0.00159,                0.62493,                0.00267,                0.00104,                 2.4818,                 4.4477,                 4.1123,             0.00046069,             0.00046069,             0.00046069
                      3,                 3.0063,                  4.087,                 4.0687,                0.00188,                0.58669,                0.00392,                0.00157,                 2.4602,                 3.8145,                 4.1304,             0.00068188,             0.00068188,             0.00068188
                      4,                 2.9926,                 3.9942,                 3.8973,                0.00195,                0.61169,                0.02644,                0.00882,                 2.4746,                 3.6495,                 4.1229,             0.00089357,             0.00089357,             0.00089357
                      5,                 2.9696,                 3.8151,                 3.7237,                 0.8551,                0.09314,                0.03516,                0.00782,                 2.5707,                 28.044,                 3.9639,              0.0009208,              0.0009208,              0.0009208
                      6,                 2.8282,                 3.5728,                 3.5311,                0.86711,                0.01471,                0.01441,                0.00342,                 2.6845,                   7.74,                 3.7211,              0.0009208,              0.0009208,              0.0009208
                      7,                 2.8925,                 3.5993,                 3.4983,                  0.335,                0.29902,                0.08223,                0.01943,                 2.6706,                 6.9442,                 3.6265,               0.000901,               0.000901,               0.000901
                      8,                 2.7772,                  3.406,                 3.3858,                 0.5734,                0.18669,                0.09106,                 0.0226,                 2.5749,                  7.727,                 4.0861,              0.0008812,              0.0008812,              0.0008812
                      9,                 2.6433,                 3.3856,                 3.3017,                0.28122,                0.10028,                0.03755,                0.00719,                  2.884,                  11.82,                 3.9822,              0.0008614,              0.0008614,              0.0008614
                     10,                 2.5026,                 3.2236,                 3.2038,                0.47024,                0.08144,                0.12808,                0.03255,                 2.4364,                 3.3769,                 3.4739,              0.0008416,              0.0008416,              0.0008416
                     11,                 2.4923,                 3.2219,                 3.1435,                0.23906,                0.18579,                0.09889,                0.03635,                 2.0716,                 3.4495,                 3.1402,              0.0008218,              0.0008218,              0.0008218
                     12,                 2.3725,                 3.1382,                 3.0139,                0.29254,                0.22276,                0.13394,                0.04123,                 2.1867,                 3.1964,                 3.2525,               0.000802,               0.000802,               0.000802
                     13,                 2.2644,                 3.0455,                 2.9428,                0.29363,                0.29314,                0.22378,                0.07725,                 2.1446,                 3.0589,                 3.0521,              0.0007822,              0.0007822,              0.0007822
                     14,                 2.1981,                 3.0587,                 2.8899,                0.66217,                0.32274,                0.42167,                0.17405,                 2.0724,                 2.8253,                 2.9761,              0.0007624,              0.0007624,              0.0007624
                     15,                 2.1741,                 2.8601,                 2.8688,                0.67222,                0.36987,                0.39611,                0.16615,                 1.9132,                 3.0507,                 2.8181,              0.0007426,              0.0007426,              0.0007426
                     16,                 2.0527,                 2.8813,                 2.7443,                0.50361,                0.36704,                0.33889,                0.14373,                 1.8141,                 3.0384,                  2.706,              0.0007228,              0.0007228,              0.0007228
                     17,                 2.0206,                  2.858,                 2.6852,                0.74445,                  0.394,                0.54674,                0.25186,                  1.921,                 2.4173,                  2.826,               0.000703,               0.000703,               0.000703
                     18,                 1.9979,                 2.7651,                 2.6729,                0.82232,                  0.338,                0.57161,                 0.2324,                 1.9006,                 2.2291,                 2.7689,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.9816,                 2.7091,                 2.6315,                0.70832,                0.45548,                0.64752,                0.31797,                 1.8332,                  2.141,                 2.6868,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.9619,                 2.5863,                 2.6048,                0.74092,                0.41767,                0.63104,                0.28246,                 1.8319,                 2.0527,                 2.7415,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.9226,                 2.5786,                 2.5828,                0.41643,                0.54512,                0.51508,                0.23396,                 1.7986,                 2.3524,                 2.6989,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.9087,                 2.5182,                  2.575,                0.72415,                0.43745,                0.51951,                0.25646,                 1.6769,                 2.5845,                 2.5409,               0.000604,               0.000604,               0.000604
                     23,                 1.8655,                 2.5871,                 2.5527,                0.68228,                0.56259,                0.80041,                0.36264,                 1.7092,                 2.4875,                 2.5713,              0.0005842,              0.0005842,              0.0005842
                     24,                 1.8153,                 2.3653,                  2.503,                 0.5692,                 0.5522,                0.64256,                 0.3031,                 1.8377,                 1.9363,                 2.7138,              0.0005644,              0.0005644,              0.0005644
                     25,                 1.8196,                 2.3729,                 2.4909,                0.62239,                 0.5658,                0.59425,                0.30951,                 1.7015,                  2.041,                 2.4783,              0.0005446,              0.0005446,              0.0005446
                     26,                 1.8051,                 2.4492,                 2.4836,                0.65182,                 0.5801,                0.65446,                0.32156,                 1.7282,                 1.8484,                 2.5874,              0.0005248,              0.0005248,              0.0005248
                     27,                  1.802,                 2.3889,                 2.4681,                0.60647,                0.58275,                0.66618,                0.36038,                 1.6074,                 1.7221,                 2.4512,               0.000505,               0.000505,               0.000505
                     28,                 1.7405,                 2.3107,                 2.4214,                0.53753,                0.68244,                0.73048,                0.38804,                  1.676,                 1.7211,                 2.5523,              0.0004852,              0.0004852,              0.0004852
                     29,                 1.7321,                 2.2333,                 2.3894,                0.69332,                0.67851,                0.68708,                0.36688,                 1.6623,                 1.7061,                  2.504,              0.0004654,              0.0004654,              0.0004654
                     30,                 1.7032,                 2.2457,                   2.37,                0.67129,                0.74519,                0.75313,                0.44462,                 1.5345,                  1.647,                  2.381,              0.0004456,              0.0004456,              0.0004456
                     31,                  1.657,                 2.1788,                 2.3327,                0.72773,                0.59894,                0.67507,                0.36276,                 1.6008,                 1.6923,                 2.4542,              0.0004258,              0.0004258,              0.0004258
                     32,                 1.6303,                 2.1048,                 2.2812,                0.77484,                0.66159,                0.75257,                0.39857,                 1.6499,                 1.6677,                 2.4533,               0.000406,               0.000406,               0.000406
                     33,                 1.6431,                 2.1026,                 2.3166,                0.60885,                0.58802,                0.69708,                 0.3754,                 1.6911,                 1.6426,                 2.5372,              0.0003862,              0.0003862,              0.0003862
                     34,                 1.6415,                 2.0662,                 2.3008,                 0.8072,                 0.8099,                0.84369,                 0.5136,                 1.5333,                 1.5499,                 2.3716,              0.0003664,              0.0003664,              0.0003664
                     35,                 1.6538,                 2.0255,                 2.3087,                0.69938,                0.80484,                0.84121,                0.50525,                 1.5626,                 1.5813,                 2.3927,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.6288,                 2.0676,                 2.2825,                 0.7508,                0.75027,                0.80051,                0.48223,                  1.535,                 1.5236,                 2.3607,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.6237,                 1.9998,                  2.283,                0.80246,                0.74095,                0.85026,                0.52054,                 1.5225,                 1.5414,                 2.3834,               0.000307,               0.000307,               0.000307
                     38,                 1.5963,                 1.9275,                 2.2556,                0.85672,                0.82072,                0.89189,                0.55434,                 1.4578,                  1.632,                 2.2775,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.5997,                 1.9484,                 2.2543,                 0.7866,                0.84968,                0.91386,                0.54373,                 1.5385,                 1.4599,                 2.3392,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.6005,                 1.9907,                 2.2787,                 0.7792,                0.78961,                0.87764,                 0.5196,                 1.5279,                 1.5206,                  2.323,              0.0002476,              0.0002476,              0.0002476
                     41,                 1.3804,                 1.9119,                 2.2662,                0.63238,                0.72137,                0.78511,                0.46589,                 1.5515,                 1.4789,                 2.3439,              0.0002278,              0.0002278,              0.0002278
                     42,                 1.3986,                 1.7184,                 2.2321,                0.95501,                 0.8098,                0.91783,                0.54005,                 1.5731,                 1.3527,                 2.3487,               0.000208,               0.000208,               0.000208
                     43,                 1.3777,                 1.5777,                 2.1957,                0.83595,                0.83472,                 0.8784,                 0.5584,                 1.6931,                 1.4713,                 2.4756,              0.0001882,              0.0001882,              0.0001882
                     44,                 1.3187,                 1.5339,                 2.1516,                0.81293,                0.82415,                0.89308,                0.54783,                 1.5674,                 1.3322,                 2.3518,              0.0001684,              0.0001684,              0.0001684
                     45,                 1.3272,                 1.4707,                 2.1246,                 0.9548,                0.84614,                0.92189,                0.58481,                 1.4747,                 1.1989,                 2.2601,              0.0001486,              0.0001486,              0.0001486
                     46,                 1.2826,                 1.3831,                 2.1298,                0.85775,                  0.887,                0.93627,                0.60628,                 1.4589,                 1.1688,                 2.2243,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.2772,                 1.4045,                 2.0827,                0.93055,                0.86758,                0.93206,                 0.6102,                 1.4364,                  1.157,                 2.2135,               0.000109,               0.000109,               0.000109
                     48,                  1.237,                 1.3859,                 2.0461,                0.95983,                0.90298,                0.94188,                0.60508,                 1.4243,                 1.1246,                 2.1865,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                 1.2795,                 1.3192,                 2.0947,                0.96081,                 0.8965,                0.94007,                0.61345,                 1.4294,                 1.0801,                 2.1625,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                 1.2326,                 1.3296,                 2.0636,                 0.9575,                0.88786,                0.93789,                0.61788,                 1.4065,                 1.0635,                 2.1461,               4.96e-05,               4.96e-05,               4.96e-05
